Job Title,Company,Job Description,Location,Link
Data Scientist,"PT. Metrodata Electronics, Tbk","DATA SCIENCEData Science as a data scientist, you play a key role to solve complex problems and drive insights from sea of data. Your role will strongly emphasize modeling, algorithm creation and optimization, and the making of data products though you may apply your skills to more advanced business analysis amenable to advanced statistical and mathematical analysis. Primarily, you will focus on the algorithm and the analysis rather than the actual construction of the operational software.Data Scientistroles and responsibilities include:Develop data science model using various machine learning platform such as Cloudera Data Science Workbench (CDSW), Google AI, Azure ML, IMB Watson, AWS Sagemaker, SAS, R, Python or others.Follow project timeline to ensure project complete on time and on budgetDevelop new product in machine learning area such as demand forecasting, product recommendation or basket analysis and other solutionImprove competencies in machine learning areaConduct demo or proof of concept (POC) to get new opportunityPT Metrodata Electronics, Tbk (Digital Solution Provider & Technology Innovator) would like to invite you to be part of the company to develop yourself and your skills. If you are:A strong mix of mathematical/statistical and programming skills.Passion in big data analytics.Solid analytical and problem-solving skills to create data-driven insights.2-3 years of experience in Data Modelling/Predictive Modelling and in developing machine learning.S1/S2 degree from top universities in a quantitative field (Statistic, Mathematics, or Computer Science)Knows programming language (e.g. R, Python, Scala)If you meet the requirement we needed, let’s apply for the following open positions. Metrodata not just offer for the job, we offer you for brighter career future.",Jakarta Raya,https://www.jobstreet.co.id/id/job/80243886?type=standard&ref=search-standalone
Data Analyst,A&W Restaurants Indonesia,"Kriteria :1. Pendidikan S1 Mathematic / Statistics2. Memiliki pengalaman min. 4 tahun sebagai Data Analyst3. Diutamakan memiliki pengalaman di industri F&B, Retail atau FMCG4. Jujur, bertanggung jawab, disiplin dan teliti5. Mampu bekerja dibawah tekanan6. Bersedia lembur / bekerja di hari liburTugas & Tanggung jawab :1. Sales Team :Limited time promotion analysisSales variance2. Inventory Planning :Analisa dataProduction costing & forecastBekerjasama dengan divisi Supply Chain, Operations dan Marketing","Jakarta Utara, Jakarta Raya",https://www.jobstreet.co.id/id/job/80763755?type=standout&ref=search-standalone
Data Analyst,PT Luxen Makmur Sejahtera,"Responsibilities:Merancang dan memelihara sistem data dan database.Mengidentifikasi data dari sumber primer dan sekunder, kemudian menata ulang data tersebut sehingga dapat lebih mudah dibaca.Menyiapkan laporan untuk kepemimpinan eksekutif yang secara efektif dan menggunakan data yang relevan.Menggunakan alat statistik untuk menginterpretasikan kumpulan dataRequirements:Pria/Wanita 20-30 tahunPendidikan terakhir S1 jurusan Teknik Informatika / Management Informatika / setaraPengalaman bekerja minimal 1 tahun di bidang Data Analyst / Management SystemMampu mengoperasikan Microsoft Office (Word,Excel,Power Point)Mampu dan menguasai rumus Microsoft Excel minimum level intermediatememiliki kemampuan menyelesaikan masalah","Jakarta Barat, Jakarta Raya",https://www.jobstreet.co.id/id/job/80182511?type=standout&ref=search-standalone
Data Analyst Staff,PT Asuransi Umum Bumiputera Muda 1967,"Posisi yang dibutuhkan :Staf Junior UnderwritingStaf KeuanganDeskripsi Pekerjaan:Melakukan analisa data & membuat laporan terkait analisa tersebutMembuat surat menyurat terkait bidang tugasnya.Mengarsipkan data-data laporan dan dokumenMerapihkan administrasi dokumen baik soft maupun hardfileMelakukan pengecekan rutin terkait akurasi dan ketepatan entry data dan hasil dari laporanMenjaga kerahasiaan dokumen-dokumen perusahaanMembuat catatan kekurangan / kelengkapan dan dokumen ke cabangMelakukan filingDan lain-lain terkait bidang data analis & administrasiMemiliki Brevet A&B (lebih diutamakan untuk posisi Staf Keuangan)Kualifikasi:Maksimal usia 26 tahunMinimal pendidikan S1 prodi Manajemen/Asuransi/Akuntansi/MatematikaFresh Graduate dipersilahkan melamarIPK > 2,75Mengusai Microsoft Office dengan baikMempunyai pengalaman pada Bidang Asuransi akan menjadi nilai tambahSiap ditempatkan di Yogyakarta","Yogyakarta, DI Yogyakarta",https://www.jobstreet.co.id/id/job/80625767?type=standout&ref=search-standalone
Data Analyst,PT Esta Indonesia,"Job Description:Define, monitor, and report relevant to business needs, such as production report, sales performance, inventory levels, and more.Regularly validate data for accuracy and consistency in ERP system.Collaborate with teams such as finance, operations, and sales to understand data requirements and provide actionable insights.Analyse trends, identify patterns, and present insights that can inform strategic decisions, optimise operations, and improve overall efficiency.Minimum Requirement:Strong analytical and critical thinking skills with the ability to identify and troubleshoot data inconsistencies and issues.Excellent communication skills to present complex data insights to non-technical stakeholders.Ability to initiate discussion with senior members, leaders, technical lead, and colleagues at all levels of an organisation.Advance skill with Ms. Excel and data processing tools.At least 2 years of experience as a data analyst.Bachelor's degree in Statistic, Mathematics, Information System, and Industrial Engineering.Male/female, age 25-30 years old","Semarang, Jawa Tengah",https://www.jobstreet.co.id/id/job/80357745?type=standout&ref=search-standalone
Data Analyst,PT Kemilau Abadi Sejahtera,"Mengelola dan mengolah data sales & stockMembantu menyediakan/mengolah data untuk kebutuhan internal maupun eksternalBerkoordinasi dengan Principal dan Vendor secara rutinMenyusun & mengirimkan Purchase Order ke Principal/Vendor dan monitoring sampai kedatangan barangMonitoring dan memastikan terpenuhinya target pembelianMembuat dokumen pendukung dan memastikan claim ke Principal terpenuhiBerkoordinasi dengan Principal terkait perhitungan setiap program bulananPersyaratan:Pendidikan minimal S1 di Matematika, Statistik, Ekonomi atau terkaitMinimun 1 tahun pengalamanTerampil dalam pengolahan data Excel (visualisasi data, dashboard, dan lainnya) dan Power PointMemiliki kemampuan analisa data yang kuat dan berpikir kritis dalam intepretasi data yang kompleksKemampuan pengelolaan project dan kerja sama antar teamNilai tambah jika ada pengalaman mengelola market placeDisiplin dan memiliki pengaturan waktu yang baikBersedia ditempatkan di Citeureup, Bogor","Bogor, Jawa Barat",https://www.jobstreet.co.id/id/job/80800319?type=standout&ref=search-standalone
Data Engineer,PT I Like Gym Indonesia,"Job Descriptions:Perform data exploration, data cleaning, data imputation, and feature engineering on unstructured and structured dataDesign, Develop and maintain report used for daily operation, management and analyticsBuild the infrastructure for optimal extraction, transformation, and loading (ETL) of data from a wide variety of data sources.Develop and maintain all data flows and prepare all ETL processes according to business requirements and incorporate all business requirements into all design specificationsIdentifying, designing and implementing internal process improvements including re-designing infrastructure for greater scalability, optimizing data delivery, and automating manual processesBuild analytics tools that utilize the data pipeline to provide actionable insightsExplore ways to enhance data quality and reliability Explore ways to enhance data quality and reliabilityDocument all test procedures for systems and processesJob Requirements:Bachelor's degree from computer science or related fields, or equivalent software engineering experienceAdvanced SQL knowledge and experience working with relational databases, query authoring (SQL). Preferably on MS SQLAdvanced Knowledge in reporting service tools. Preferably Microsoft SSRSAdvanced Knowledge in ETL / data pipeline applications. Preferably Microsoft SSISExperienced in performing root cause analysis on internal and external data and processes to answer specific business questions and identify opportunities for improvementHave an understanding and experience regarding the reporting dashboard and data warehouse conceptsExperienced in object-oriented/object function scripting languages: Python, Java, C#,C++,Proficiency in source control i.e. GitGot 2+ years of experience in Data Engineering roleFamiliar with Azure ETL product like Azure Data Factory, Azure Synapse, Azure Datalake, Azure Devops would be a great addition","Jakarta Pusat, Jakarta Raya",https://www.jobstreet.co.id/id/job/80275166?type=standout&ref=search-standalone
Data Analyst,PT Ayoe Indotama Textile (Bandung),"KesempatanPT Ayoe Indotama Textile, perusahaan tekstil terkemuka di Cimahi Selatan, Jawa Barat, saat ini sedang mencari seorang Data Analyst yang kompeten untuk bergabung dengan tim kami. Dalam peran ini, Anda akan memainkan peran kunci dalam menganalisis dan mengekstraksi wawasan berharga dari data kompleks yang akan membantu kami membuat keputusan strategis yang lebih baik dan mencapai tujuan bisnis kami.Tanggung JawabMengumpulkan, membersihkan, dan memproses data dari berbagai sumber untuk memastikan keakuratan dan integritas dataMenganalisis data menggunakan perangkat lunak analitik dan teknik statistik untuk mengidentifikasi tren, pola, dan wawasan yang dapat ditindaklanjutiMenyajikan temuan analisis dalam bentuk laporan, dashboard, dan presentasi yang mudah dipahami untuk berbagai pemangku kepentinganBerkolaborasi dengan tim lintas fungsional untuk memahami kebutuhan bisnis dan menerjemahkannya menjadi solusi analitikMemberikan rekomendasi yang dapat dieksekusi berdasarkan analisis data untuk membantu perusahaan membuat keputusan yang lebih baikMembantu dalam pengembangan dan peningkatan proses analitik dan pelaporanKualifikasi dan PengalamanGelar sarjana atau setara dalam Matematika, Statistika, Ilmu Komputer, atau bidang terkaitMinimal 1 tahun pengalaman sebagai Data Analyst atau peran analitik serupaMahir dalam penggunaan perangkat lunak analitik seperti SQL, Python, R, dan TableauMemiliki pemahaman yang kuat tentang metodologi analisis data, visualisasi data, dan teknik pemodelanKemampuan berpikir kritis dan analitis untuk mengidentifikasi wawasan yang berharga dari dataKemampuan komunikasi yang baik, baik lisan maupun tertulis, untuk menyampaikan temuan analisis dengan jelasPengalaman bekerja dalam lingkungan industri manufaktur atau tekstil akan menjadi nilai tambah","Cimahi Selatan, Jawa Barat",https://www.jobstreet.co.id/id/job/80796221?type=standout&ref=search-standalone
Data Processing & Analyst,PT Suzuki Indomobil Motor,"Job DescriptionClean, preprocess, and validate data to ensure accuracy and completenessPerform statistical analyses to interpret data, identify trends, and generate insightsDevelop visualizations, dashboards, and reports using tools such as Tableau, Power BI, or ExcelRequirementsBachelor/Master's Degree in Statistics, Mathematics, Management, or IT with a minimum GPA of 3.00 from a reputable universityHave a minimum of 2 years experience in data analysisSkillsFluent in English (verbal & written)Microsoft Office (minimal intermediate)Planning and organizing skillsCustomer service orientedLooking for character:Development timeline planningWork with cross-function teamStrong analytical and logical thinkingGood interpersonal & communicationAble to work as a team or independent","Pulo Gadung, Jakarta Raya",https://www.jobstreet.co.id/id/job/80571773?type=standout&ref=search-standalone
Credit Data Analyst,PT. Pintar Inovasi Digital,"Job Descriptions：• Responsible for the daily business monitoring system, including all business processes/risk control strategies/monitoring of post-loan data performance indicators, and regularly reporting the business & risk control situation in the form of reports (Daily, Weekly, Monthly);• Collect various types of features in the maintenance & optimization business: including data collection, processing logic, usage scenarios, etc.; make daily monitoring reports feature, and regularly provide strategy/model specific data table suggestions based on data performance;• Assist in building the data environment, creating data tables, and continuously displaying the data needed by each team.• Periodically conduct data analysis and review on risk strategies/model effects/product profitability, and point out potential problems & risks based on the analysis results, and propose solutionsQualifications:• Bachelor's degree or higher, major in mathematical statistics and other related majors;•Has at least 2 years of work experience in multi-finance, fintech and experience in data analysis (priority)• Proficient in hive SQL, and using system languages such as python SAS R spark for data analysis and processing.• Master statistical methods and tools and be familiar with statistical model testing methods.• Have clear logical thinking, proactive, fast learning, strong communication and team skills.","Jakarta Selatan, Jakarta Raya",https://www.jobstreet.co.id/id/job/80570937?type=standout&ref=search-standalone
Data Analyst Staff,PT Perindustrian Bapak Djenggot (Orang Tua Group),"Qualifications:Bachelor's degree in Statistic, Mathematics, Information System, Industrial Engineering, or ManagementMinimum GPA of 3.00Proficient in Microsoft Office especiallyMicrosoft ExcelWilling to be placed inJakarta BaratJob Description:Interpret and analyze data using statistical techniquesProvide reports to meet information needs","Jakarta Barat, Jakarta Raya",https://www.jobstreet.co.id/id/job/80319360?type=standard&ref=search-standalone
Data Scientist,PT Karisma Zona Kreatifku,"QualificationsBachelor’s degree in Information Technology, Computer Science, Data Science, or a related fieldMinimum 3-5 years of work experience as a Data Scientist or in a related analytical roleStrong analytical skills, with a good understanding of data structuresStrong communication skillsProficiency in Python, with hands-on experience in data analysisKnowledge of investment or forex markets is preferredAbility to work effectively under pressure and multitask to manage multiple projectsPoint plus if have experience in broker/trader projectJob DescriptionsAnalyze complex datasets to identify trends, patterns, and insights that drive business decisionsPerform data cleaning, preprocessing, and transformation to ensure data accuracy and usabilityCreate visualizations and reports to effectively communicate findings and recommendationsMonitor model performance and make adjustments to improve accuracy and efficiencyCollaborate with cross-functional teams to understand data needs and develop solutionsStay updated on industry trends, best practices, and emerging technologies in data scienceand investment fieldsWilling to contact status with WFO system at Karangwaru, Kec. Tegalrejo, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55242","Yogyakarta, DI Yogyakarta",https://www.jobstreet.co.id/id/job/80517538?type=standard&ref=search-standalone
Data Analyst,PT Adi Data Informatika,"Data AnalystS1 (Ilmu Komputer, Matematika, Statistik, & Sejenisnya)Pengalaman Min 3 tahun dalam peran yang melibatkan analisis dataPengalaman dalam pengolahan & analisis data menggunakan bahasa pemrograman seperti (Python/R, SQL)Memiliki pengalaman menggunakan analytics tools seperti : Exell, Tableau, PowerBIDiutamakan paham tentang data management & data as a service, serta paham terhadap konsep statistik dan memiliki kemampuan untuk menerapkan metode analisis yang relevan",Jakarta Raya,https://www.jobstreet.co.id/id/job/80624790?type=standout&ref=search-standalone
Data Science Analyst / Business Systems Intelligence / Supply Chain PPIC,PT GREENLY LIFESTYLE INDONESIA,"About the Role:We are seeking a skilled Data Analyst to join our team.The ideal candidate will be a highly analytical individual with a strong proficiency in data manipulation and analysis. This role involves extracting valuable insights from complex datasets to inform strategic decision-making.Responsibilities:* Collect, clean, and organize large datasets to ensure data accuracy and consistency* Perform advanced data analysis using Microsoft Excel / Google Sheets, including functions like IF, REGEX, MATCH, INDEX, LOOKUP, and pivot tables* Create insightful reports and visualizations using advanced charting and conditional formatting techniques* Develop and maintain data models and dashboards to provide easy access to key metrics* Identify trends, patterns, and anomalies within data to uncover actionable insights* Collaborate with cross-functional teams to understand business requirements and translate them into data-driven solutions* Optimize data processes and recommend improvements to enhance efficiency and effectiveness* Stay updated on the latest data analysis tools and techniquesRequirements:* Bachelor's degree in Statistics, Mathematics, Computer Science, or related field* Minimum of 1 year of experience as a Data Analyst* Expert-level proficiency in Microsoft Excel/Google Sheets, including advanced formulas and functions* Strong understanding of data manipulation techniques and statistical analysis* Ability to create clear and effective data visualizations* Excellent problem-solving and analytical skills* Strong attention to detail and accuracy* Ability to communicate complex findings to both technical and non-technical audiences* Proficiency in SQL and Python is a significant advantage* Experience in the retail and F&B industry is highly valued","Surabaya, Jawa Timur",https://www.jobstreet.co.id/id/job/80580703?type=standard&ref=search-standalone
Data Analyst (SAS),PT Nawa Data Solutions,"Kualifikasi:Programming Language: Pengalaman dalam SQL, VBA, dan SAS language.Familiar dengan:SAS IDFormat data CSV dan JSONSDLC (System Development Life Cycle)Kepribadian:Komitmen terhadap tenggat waktu proyek.Memiliki kebiasaan mendokumentasikan pekerjaan secara terstruktur dan rapi.Bersedia bekerja full WFO di industri Banking.Kualifikasi Tambahan (Akan lebih diutamakan):Pengalaman dengan tools atau aplikasi analitik dan database lainnya.Kemampuan dalam pengelolaan proyek dan koordinasi tim.","Jakarta Selatan, Jakarta Raya",https://www.jobstreet.co.id/id/job/80690882?type=standout&ref=search-standalone
Data Engineer,PT. IDX CONSULTING,"id/x partnersprovide consulting services that specializes in utilizing data mining solutions combined with an integrated risk management and marketing discipline to help clients optimize the portfolio profitability and business process. We want you to be part of our team, in which you will play a major role helping us to fundamentally aspect of our solutions. As a you needed for this position, you will have the opportunity to build effective and efficient process for our software solutions.You will be responsible:Working in a project team to solve data issues from quality, integration to transformation. Variety of projects with structured and unstructured data types on many technologies and/or platforms.Perform ETL (Extract, Transform, Load)Models data structure from product needs to database tablesPerform query testing on large datasets, and define the best practices of data query style to meets business requirementDefine best practices for data migration and convertionRequirements:D3/S1 graduate from reputable university in IT or IS majorsMinimum GPA of 3.0Have 2+ years experience in Talend, SSIS, Data Stage or other data integration toolsKnowledge in Data Warehouse & Big Data is a plusFast learner and hard workingStrong analytical skillAble to speak/write in EnglishPreferred 2 year or more of relevant working experience.We offer:Attractive salary including THRWork in dynamic environmentHealth Insurance (after passing 3-month employment)Work in a startup with rapid innovation and experimentationOut-of-town, transportation and mobile phone allowanceQuarterly company gatheringAnnual company outing within Indonesia and ASEAN regionid/x partners are a private high growth organization headquartered in Jakarta and is a leading consulting firm for Data, Analytics & Decisioning solution in Asia-Pacific region. Our next-generation digital-enabler consultancy is the ideal place for you to grow your career. Are you up for the challenge?",Jakarta Raya,https://www.jobstreet.co.id/id/job/80322112?type=standout&ref=search-standalone
Data Analyst,Dexa Group,"Job Description:Aligning analysis requirements with process and data source availabilityEnsuring data quality and readiness for reporting and analysisContinues development and enhancing BI tools capabilityCreate ad-hoc analysis to meet business user requirementsCoordinating with different functional teams to implement strategic reports or analysis contentRequirements:Bachelor's Degree in Computer Science or Mathematics or Statistics or Economic  from top universityMinimum 1 years experience in Data AnalystAdvanced skills using office software for reporting and presentationGood knowledge of the Data Warehouse development conceptExperience using BI Tools such as Qlikview, Tableau, or PowerBIFamiliar with RDBMS Databases such as Oracle and SQL ServerFamiliar with DML/DDL SQL processing will be an advantageWilling to work on-site in Head Office Bintaro","South Tangerang, Banten",https://www.jobstreet.co.id/id/job/80712249?type=standard&ref=search-standalone
Python Developer (Backend & Data Engineering),PT Gema Teknologi Cahaya Gemilang (CV Office Plus),"Kami mencari seorang Python Developer yang berbakat untuk bergabung dengan tim kami. Kandidat yang ideal akan memiliki keahlian dalam pengambilan data (scraping), pengelolaan API menggunakan framework Flask, serta pengalaman bekerja dengan model machine learning (terutama Llama) untuk training dan implementasi di server internal.Skill dan Kompetensi yang Dibutuhkan:Pengalaman dengan Python dan Framework Flask: Untuk pengembangan API dan pengelolaan model.Pengalaman dengan Model Machine Learning: Terutama dalam fine-tuning model seperti Llama atau model sejenis di server internal.Penguasaan Web Scraping: Untuk mendapatkan data dari situs web, jika diperlukan.Pengalaman dengan OAuth dan JWT: Untuk memastikan keamanan API.Keterampilan dalam Pengelolaan Server: Mengelola server internal, termasuk pengaturan server dengan GPU untuk keperluan machine learning.Keahlian yang Diharapkan:Pengalaman dalam mengelola dan mengimplementasikan RESTful API.Pengalaman dengan framework Flask dan FastAPI.Pengetahuan tentang teknik machine learning, khususnya terkait dengan Llama dan model bahasa.Keahlian dalam pengambilan data dari website (web scraping) dan pemrosesan data.Kemampuan untuk mengelola proyek dengan alat pengelolaan versi (seperti Git).Pengetahuan tentang database dan pengelolaan data (SQL/NoSQL).Pengalaman dengan cloud computing dan server management adalah nilai tambah.Tanggung Jawab:Mengumpulkan data dari berbagai sumber (data nternal / web scraping).Melatih model Machine Learning (Fine-tuning).Mengembangkan dan mengelola API menggunakan framework Flask (Python).Membuat dan mengelola API untuk mengakses hasil dari model training Llama.Mengimplementasikan autentikasi API menggunakan OAuth dan JWT untuk memastikan keamanan akses data dan model.Bekerja sama dengan tim lain untuk mengimplementasikan solusi yang efisien dan efektif.Menyusun dokumentasi teknis yang jelas dan mudah dipahami.","Jakarta Barat, Jakarta Raya",https://www.jobstreet.co.id/id/job/80772039?type=standout&ref=search-standalone
